id,Source,Target,weight
"166,""      BED003"",""SC1"",2"
"167,""      BED003"",""SE1"",270"
"168,""      BED003"",""SK1"",5"
"169,""      BED003"",""SKR"",134"
"170,""      BED003"",""XS0"",439"
"171,""      BED003"",""ZA1"",57"
"172,""      BED004"",""OV3"",93"
"173,""      BED004"",""OV4"",38"
"174,""      BED005"",""AX1"",13"
"175,""      BED005"",""BE1"",9"
"176,""      BED005"",""BE4"",191"
"177,""      BED005"",""BE7"",784"
"178,""      BED005"",""BE8"",67"
"179,""      BED005"",""BE9"",15495"
"180,""      BED005"",""DK1"",23"
"181,""      BED005"",""DK4"",16"
"182,""      BED005"",""F11"",601"
"183,""      BED005"",""FI1"",443"
"184,""      BED005"",""FI4"",3923"
"185,""      BED005"",""FR2"",4351"
"186,""      BED005"",""FR3"",1415"
"187,""      BED005"",""FR4"",23111"
"188,""      BED005"",""FR7"",18"
"189,""      BED005"",""FR8"",128"
"190,""      BED005"",""FRB"",803"
"191,""      BED005"",""FRD"",2689"
"192,""      BED005"",""NL1"",911"
"193,""      BED005"",""NL4"",14353"
"194,""      BED005"",""NL6"",62"
"195,""      BED005"",""NL8"",211"
"196,""      BED005"",""NO1"",19"
"197,""      BED005"",""NO4"",1"
"198,""      BED005"",""SE1"",26"
"199,""      BED005"",""SE4"",4"
"200,""      BEF001"",""BE1"",3"
"201,""      BEF001"",""BE4"",8"
"202,""      BEK001"",""BE1"",1"
"203,""      BEK001"",""BE4"",5"
"204,""      BEK001"",""CZR"",8"
"205,""      BEK001"",""DE1"",139"
"206,""      BEK001"",""DER"",1"
"207,""      BEK001"",""DK4"",2"
"208,""      BEK001"",""FI4"",1"
"209,""      BEK001"",""FR4"",4"
"210,""      BEK001"",""IE1"",1"
"211,""      BEK001"",""IT3"",37"
"212,""      BEK001"",""IT9"",5"
"213,""      BEK001"",""ITM"",1"
"214,""      BEK001"",""NO1"",1"
"215,""      BEK001"",""SE1"",19"
"216,""      BEK001"",""XS0"",11"
"217,""      CHD001"",""CH3"",3"
"218,""      CHD001"",""CH4"",187"
"219,""      CHD001"",""CH6"",3"
"220,""      CHD001"",""CH8"",130"
"221,""      CHD001"",""CHB"",863"
"222,""      CHD001"",""CHE"",3367"
"223,""      CHF001"",""CH4"",2"
"224,""      CHF001"",""CHE"",3"
"225,""      DEF001"",""DE1"",34"
"226,""      ESD001"",""   "",10"
"227,""      ESD001"",""IB0"",1873"
"228,""      ESD001"",""IB1"",640"
"229,""      ESD001"",""IB2"",558"
"230,""      ESD001"",""IB3"",59"
"231,""      ESD001"",""IB4"",2179"
"232,""      ESD001"",""IB5"",43148"
"233,""      ESD001"",""IB6"",11"
"234,""      ESD001"",""IBR"",232"
"235,""      ESD001"",""IBX"",676"
"236,""      ESF001"",""IB0"",3"
"237,""      ESF001"",""IB5"",11"
"238,""      ESV001"",""IB5"",18"
"239,""      FIV001"",""FI1"",13"
"240,""      FRD001"",""AT1"",2"
"241,""      FRD001"",""AT4"",36"
"242,""      FRD001"",""BE4"",1"
"243,""      FRD001"",""DE1"",234"
"244,""      FRD001"",""DE6"",54"
"245,""      FRD001"",""DK1"",8"
"246,""      FRD001"",""EE1"",3"
"247,""      FRD001"",""FI1"",7"
"248,""      FRD001"",""FR4"",455"
"249,""      FRD001"",""IE1"",8"
"250,""      FRD001"",""IT3"",223"
"251,""      FRD001"",""IT8"",6"
"252,""      FRD001"",""LT1"",1"
"253,""      FRD001"",""LV1"",9"
"254,""      FRD001"",""NO1"",6"
"255,""      FRD001"",""UK1"",18"
"256,""      FRD001"",""UK4"",116"
"257,""      FRD003"",""AT7"",4"
"258,""      FRD003"",""FR3"",4"
"259,""      FRD003"",""FR4"",24"
"260,""      FRD003"",""FRD"",9"
"261,""      FRF001"",""FR4"",41"
"262,""      ITD001"",""   "",7"
"263,""      ITD001"",""BE4"",3"
"264,""      ITD001"",""DE1"",1"
"265,""      ITD001"",""DE6"",1"
"266,""      ITD001"",""FR4"",18"
"267,""      ITD001"",""FR8"",2"
"268,""      ITD001"",""IE1"",3"
"269,""      ITD001"",""IT1"",672"
"270,""      ITD001"",""IT2"",1073"
"271,""      ITD001"",""IT3"",19017"
"272,""      ITD001"",""IT4"",225"
"273,""      ITD001"",""IT6"",7"
"274,""      ITD001"",""IT7"",9"
"275,""      ITD001"",""IT8"",204"
"276,""      ITD001"",""IT9"",1516"
"277,""      ITD001"",""ITB"",152"
"278,""      ITD001"",""ITC"",213"
"279,""      ITD001"",""ITD"",473"
"280,""      ITD001"",""ITE"",448"
"281,""      ITD001"",""ITG"",251"
"282,""      ITD001"",""ITH"",14"
"283,""      ITD001"",""ITI"",4"
"284,""      ITD001"",""ITK"",18"
"285,""      ITD001"",""M11"",1"
"286,""      ITD001"",""UK1"",6"
"287,""      ITD002"",""IT3"",38"
"288,""      ITD002"",""ITH"",1"
"289,""      ITD004"",""   "",3"
"290,""      ITD004"",""IT1"",2857"
"291,""      ITD004"",""IT2"",128"
