id;Source;CIUDAD;LATITUD;LONGITUD;País;Target;ciudad;LATITUD;LONGITUD;País;weight
33;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AT5;Amstall;48°23?00?N;15°19?00?E;Austria;3
17;      ATF001;Burgenland;47°49?00?N;17°01?00?E;Austria;AT7;Aschenbach;47°01?00?N;15°32?00?E;Austria;6
257;      FRD003;Lorena;48°31?50?N;05°29?40?E;Francia;AT7;Aschenbach;47°01?00?N;15°32?00?E;Austria;4
7;      ATD001;Viena;48°10?00?N;16°29?00?E;Austria;AT8;Ausserbraz;47°09?00?N;09°53?00?E;Austria;220
34;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AT8;Ausserbraz;47°09?00?N;09°53?00?E;Austria;11
8;      ATD001;Viena;48°10?00?N;16°29?00?E;Austria;ATR;Bad Kreuzen;48°16?03?N;14°48?23?E;Austria;1239
18;      ATF001;Burgenland;47°49?00?N;17°01?00?E;Austria;ATR;Bad Kreuzen;48°16?03?N;14°48?23?E;Austria;1
35;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;ATR;Bad Kreuzen;48°16?03?N;14°48?23?E;Austria;4124
114;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;ATR;Bad Kreuzen;48°16?03?N;14°48?23?E;Austria;2
36;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AX1;Geta;60°10'42.7'' N;19°54'56.2'' E;Åland Islands;34
174;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;AX1;Geta;60°10'42.7'' N;19°54'56.2'' E;Åland Islands;13
37;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;BE1;Attenhoven;50°45?57?N;05°05?35?E;Belgica;2159
115;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;BE1;Attenhoven;50°45?57?N;05°05?35?E;Belgica;9
146;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;BE1;Attenhoven;50°45?57?N;05°05?35?E;Belgica;100
175;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;BE1;Attenhoven;50°45?57?N;05°05?35?E;Belgica;9
200;      BEF001;Brabante Flamenco;50°46?14?N;04°51?56?E;Belgica;BE1;Attenhoven;50°45?57?N;05°05?35?E;Belgica;3
202;      BEK001;Valonia;50°53?35?N;02°59?07?E;Belgica;BE1;Attenhoven;50°45?57?N;05°05?35?E;Belgica;1
38;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;BE4;Basbeek;51°03?29?N;03°39?40?E;Belgica;8703
116;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;BE4;Basbeek;51°03?29?N;03°39?40?E;Belgica;15
147;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;BE4;Basbeek;51°03?29?N;03°39?40?E;Belgica;94
176;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;BE4;Basbeek;51°03?29?N;03°39?40?E;Belgica;191
201;      BEF001;Brabante Flamenco;50°46?14?N;04°51?56?E;Belgica;BE4;Basbeek;51°03?29?N;03°39?40?E;Belgica;8
203;      BEK001;Valonia;50°53?35?N;02°59?07?E;Belgica;BE4;Basbeek;51°03?29?N;03°39?40?E;Belgica;5
242;      FRD001;Paris;49°09?40?N;01°20?25?E;Francia;BE4;Basbeek;51°03?29?N;03°39?40?E;Belgica;1
263;      ITD001;Roma;41°50?01?N;12°45?11?E;Italia;BE4;Basbeek;51°03?29?N;03°39?40?E;Belgica;3
177;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;BE7;Basse Flandre;50°47?00?N;03°05?00?E;Belgica;784
39;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;BE8;Bergstraat;50°50?00?N;03°28?00?E;Belgica;5
117;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;BE8;Bergstraat;50°50?00?N;03°28?00?E;Belgica;52
148;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;BE8;Bergstraat;50°50?00?N;03°28?00?E;Belgica;111
178;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;BE8;Bergstraat;50°50?00?N;03°28?00?E;Belgica;67
40;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;BE9;Bonneville;50°28?22?N;05°02?19?E;Belgica;3303
179;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;BE9;Bonneville;50°28?22?N;05°02?19?E;Belgica;15495
217;      CHD001;Praga;50°02?16?N;14°23?31?E;Republica Checa;CH3;Am Rain;47°11?05?N;08°38?14?E;Switzerland;3
41;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;CH4;Bassecourt;47°20?18?N;07°14?42?E;Switzerland;245
218;      CHD001;Praga;50°02?16?N;14°23?31?E;Republica Checa;CH4;Bassecourt;47°20?18?N;07°14?42?E;Switzerland;187
223;      CHF001;Olomuc;50°11?46?N;17°01?23?E;Republica Checa;CH4;Bassecourt;47°20?18?N;07°14?42?E;Switzerland;2
219;      CHD001;Praga;50°02?16?N;14°23?31?E;Republica Checa;CH6;Basel;47°33?30?N;07°34?24?E;Switzerland;3
42;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;CH8;Berghus;47°30?29?N;08°33?07?E;Switzerland;557
149;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;CH8;Berghus;47°30?29?N;08°33?07?E;Switzerland;1
220;      CHD001;Praga;50°02?16?N;14°23?31?E;Republica Checa;CH8;Berghus;47°30?29?N;08°33?07?E;Switzerland;130
43;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;CHB;Breite;47°27?37?N;08°39?46?E;Switzerland;1218
118;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;CHB;Breite;47°27?37?N;08°39?46?E;Switzerland;1
221;      CHD001;Praga;50°02?16?N;14°23?31?E;Republica Checa;CHB;Breite;47°27?37?N;08°39?46?E;Switzerland;863
44;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;CHE;Coglio;46°16?14?N;08°41?06?E;Switzerland;5975
119;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;CHE;Coglio;46°16?14?N;08°41?06?E;Switzerland;42
150;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;CHE;Coglio;46°16?14?N;08°41?06?E;Switzerland;4
222;      CHD001;Praga;50°02?16?N;14°23?31?E;Republica Checa;CHE;Coglio;46°16?14?N;08°41?06?E;Switzerland;3367
224;      CHF001;Olomuc;50°11?46?N;17°01?23?E;Republica Checa;CHE;Coglio;46°16?14?N;08°41?06?E;Switzerland;3
9;      ATD001;Viena;48°10?00?N;16°29?00?E;Austria;CZ1;Belec nad Orlici;50°11?53?N;15°56?34?E;Republica Checa;57
45;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;CZ1;Belec nad Orlici;50°11?53?N;15°56?34?E;Republica Checa;125
46;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;CZ4;Belice;49°45?58?N;14°28?18?E;Republica Checa;1
10;      ATD001;Viena;48°10?00?N;16°29?00?E;Austria;CZR;Borova;49°57?31?N;18°06?18?E;Republica Checa;174
47;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;CZR;Borova;49°57?31?N;18°06?18?E;Republica Checa;3153
120;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;CZR;Borova;49°57?31?N;18°06?18?E;Republica Checa;9
151;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;CZR;Borova;49°57?31?N;18°06?18?E;Republica Checa;287
204;      BEK001;Valonia;50°53?35?N;02°59?07?E;Belgica;CZR;Borova;49°57?31?N;18°06?18?E;Republica Checa;8
309;      PLD001;Lisboa;38°47?26?N;09°13?42?W;Portugal;CZR;Borova;49°57?31?N;18°06?18?E;Republica Checa;13
48;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DE1;Allensbach;47°42?55?N;09°04?17?E;Alemania;58782
121;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;DE1;Allensbach;47°42?55?N;09°04?17?E;Alemania;173
205;      BEK001;Valonia;50°53?35?N;02°59?07?E;Belgica;DE1;Allensbach;47°42?55?N;09°04?17?E;Alemania;139
225;      DEF001;Berlin;52°26?08?N;13°32?54?E;Alemania;DE1;Allensbach;47°42?55?N;09°04?17?E;Alemania;34
243;      FRD001;Paris;49°09?40?N;01°20?25?E;Francia;DE1;Allensbach;47°42?55?N;09°04?17?E;Alemania;234
264;      ITD001;Roma;41°50?01?N;12°45?11?E;Italia;DE1;Allensbach;47°42?55?N;09°04?17?E;Alemania;1
49;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DE2;Am Roten Berg;50°07?00?N;08°20?00?E;Alemania;144
50;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DE4;Anhausen;49°06?00?N;09°52?00?E;Alemania;5593
